    alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4335   0.00686   0.00190  -0.0105   0.6029   0.0157
  -4.500  -0.3770   0.00678   0.00172  -0.0104   0.5592   0.0165
  -4.000  -0.3205   0.00669   0.00155  -0.0104   0.5160   0.0188
  -3.500  -0.2637   0.00664   0.00141  -0.0104   0.4763   0.0207
  -3.000  -0.2070   0.00661   0.00129  -0.0104   0.4326   0.0230
  -2.500  -0.1501   0.00659   0.00118  -0.0105   0.3943   0.0268
  -2.000  -0.0931   0.00658   0.00110  -0.0106   0.3558   0.0315
  -1.500  -0.0362   0.00660   0.00104  -0.0106   0.3194   0.0374
  -1.000   0.0210   0.00661   0.00100  -0.0108   0.2898   0.0457
  -0.500   0.0780   0.00661   0.00098  -0.0109   0.2609   0.0617
   0.000   0.1350   0.00657   0.00096  -0.0110   0.2420   0.0943
   0.500   0.1885   0.00590   0.00087  -0.0107   0.2270   0.3384
   1.000   0.2441   0.00561   0.00087  -0.0107   0.2151   0.4635
   1.500   0.3005   0.00547   0.00091  -0.0108   0.2042   0.5510
   2.000   0.3571   0.00534   0.00096  -0.0110   0.1978   0.6318
   2.500   0.4132   0.00521   0.00103  -0.0110   0.1880   0.7272
   3.000   0.4705   0.00520   0.00111  -0.0112   0.1838   0.7739
   3.500   0.5275   0.00527   0.00122  -0.0114   0.1745   0.8084
   4.000   0.5847   0.00531   0.00132  -0.0116   0.1705   0.8415
   4.500   0.6413   0.00542   0.00145  -0.0117   0.1625   0.8733
   5.000   0.6979   0.00549   0.00158  -0.0118   0.1574   0.9012
   5.500   0.7539   0.00565   0.00174  -0.0118   0.1499   0.9243
   6.000   0.8096   0.00578   0.00190  -0.0117   0.1441   0.9451
   6.500   0.8641   0.00599   0.00210  -0.0115   0.1360   0.9620
   7.000   0.9186   0.00618   0.00229  -0.0112   0.1295   0.9753
   7.500   0.9728   0.00646   0.00252  -0.0110   0.1190   0.9857
   8.000   1.0279   0.00679   0.00279  -0.0111   0.1075   0.9935
   9.000   1.1499   0.00761   0.00346  -0.0141   0.0849   0.9977
   9.500   1.2095   0.00810   0.00387  -0.0154   0.0730   0.9992
  10.000   1.2644   0.00876   0.00442  -0.0159   0.0574   1.0000
  10.500   1.3089   0.00936   0.00494  -0.0140   0.0461   1.0000
  11.000   1.3551   0.01005   0.00555  -0.0126   0.0353   1.0000
  11.500   1.4028   0.01073   0.00617  -0.0117   0.0279   1.0000
  12.000   1.4504   0.01145   0.00684  -0.0107   0.0221   1.0000
  12.500   1.4978   0.01214   0.00751  -0.0099   0.0182   1.0000
  13.000   1.5446   0.01284   0.00820  -0.0089   0.0156   1.0000
  13.500   1.5902   0.01358   0.00893  -0.0079   0.0134   1.0000
  14.000   1.6342   0.01437   0.00972  -0.0066   0.0116   1.0000
  14.500   1.6763   0.01522   0.01058  -0.0052   0.0103   1.0000
  15.000   1.7166   0.01610   0.01148  -0.0035   0.0092   1.0000
  15.500   1.7529   0.01707   0.01248  -0.0013   0.0084   1.0000
  16.000   1.7788   0.01820   0.01364   0.0026   0.0074   1.0000
  16.500   1.8046   0.01940   0.01489   0.0060   0.0071   1.0000
  17.000   1.8261   0.02098   0.01653   0.0093   0.0067   1.0000
  17.500   1.8423   0.02311   0.01873   0.0124   0.0061   1.0000
  18.000   1.8561   0.02573   0.02143   0.0147   0.0056   1.0000
  18.500   1.8682   0.02886   0.02465   0.0161   0.0055   1.0000
  19.000   1.8738   0.03302   0.02892   0.0166   0.0054   1.0000
  19.500   1.8700   0.03865   0.03468   0.0160   0.0052   1.0000
  20.000   1.8528   0.04641   0.04260   0.0140   0.0050   1.0000
  20.500   1.8175   0.05714   0.05353   0.0102   0.0049   1.0000
  21.000   1.7577   0.07184   0.06848   0.0043   0.0048   1.0000
  21.500   1.6667   0.09177   0.08873  -0.0043   0.0050   1.0000
  22.000   1.5669   0.11391   0.11118  -0.0146   0.0051   1.0000
  22.500   1.4844   0.13437   0.13191  -0.0251   0.0052   1.0000
  23.500   1.3982   0.16410   0.16196  -0.0427   0.0051   1.0000
  24.000   1.3736   0.17635   0.17433  -0.0509   0.0049   1.0000
  24.500   1.3531   0.18807   0.18615  -0.0591   0.0047   1.0000
  25.000   1.3358   0.19942   0.19760  -0.0674   0.0044   1.0000
