  
       XFOIL         Version 6.99
  
 Calculated polar for: MH 114  13.02%                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.800 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.3143   0.01050   0.00491  -0.1919   0.7827   0.0103
  -4.800   0.3372   0.01026   0.00459  -0.1921   0.7787   0.0108
  -4.600   0.3600   0.00984   0.00412  -0.1923   0.7746   0.0117
  -4.400   0.3825   0.00962   0.00388  -0.1925   0.7703   0.0126
  -4.200   0.4053   0.00944   0.00364  -0.1926   0.7660   0.0136
  -4.000   0.4285   0.00919   0.00333  -0.1928   0.7619   0.0153
  -3.800   0.4512   0.00898   0.00311  -0.1929   0.7577   0.0178
  -3.600   0.4739   0.00880   0.00293  -0.1930   0.7532   0.0222
  -3.400   0.4967   0.00866   0.00277  -0.1931   0.7488   0.0288
  -3.200   0.5197   0.00852   0.00262  -0.1933   0.7445   0.0381
  -3.000   0.5423   0.00837   0.00252  -0.1934   0.7401   0.0498
  -2.800   0.5650   0.00822   0.00241  -0.1936   0.7354   0.0666
  -2.600   0.5878   0.00810   0.00233  -0.1938   0.7310   0.0887
  -2.400   0.6105   0.00798   0.00227  -0.1939   0.7266   0.1149
  -2.200   0.6332   0.00785   0.00222  -0.1941   0.7217   0.1452
  -2.000   0.6557   0.00775   0.00218  -0.1942   0.7169   0.1787
  -1.800   0.6784   0.00767   0.00215  -0.1944   0.7124   0.2151
  -1.600   0.7010   0.00756   0.00214  -0.1945   0.7075   0.2530
  -1.400   0.7235   0.00749   0.00213  -0.1946   0.7023   0.2882
  -1.200   0.7458   0.00746   0.00212  -0.1947   0.6974   0.3235
  -1.000   0.7683   0.00738   0.00214  -0.1948   0.6924   0.3597
  -0.800   0.7906   0.00733   0.00215  -0.1948   0.6870   0.4006
  -0.600   0.8126   0.00732   0.00217  -0.1948   0.6818   0.4379
  -0.400   0.8350   0.00727   0.00220  -0.1949   0.6764   0.4739
  -0.200   0.8570   0.00725   0.00223  -0.1949   0.6706   0.5066
   0.000   0.8786   0.00728   0.00227  -0.1947   0.6651   0.5382
   0.200   0.9008   0.00725   0.00232  -0.1947   0.6593   0.5691
   0.400   0.9223   0.00727   0.00236  -0.1946   0.6533   0.5994
   0.600   0.9438   0.00729   0.00241  -0.1944   0.6475   0.6282
   0.800   0.9654   0.00730   0.00247  -0.1943   0.6410   0.6574
   1.000   0.9862   0.00734   0.00253  -0.1940   0.6346   0.6870
   1.200   1.0076   0.00735   0.00260  -0.1938   0.6284   0.7164
   1.400   1.0282   0.00739   0.00267  -0.1935   0.6215   0.7466
   1.600   1.0485   0.00742   0.00275  -0.1931   0.6151   0.7799
   1.800   1.0682   0.00743   0.00283  -0.1925   0.6079   0.8163
   2.000   1.0858   0.00746   0.00291  -0.1915   0.6011   0.8591
   2.200   1.0985   0.00737   0.00294  -0.1892   0.5942   0.9306
   2.400   1.1182   0.00743   0.00298  -0.1887   0.5870   1.0000
   2.600   1.1394   0.00753   0.00304  -0.1886   0.5795   1.0000
   2.800   1.1594   0.00767   0.00313  -0.1882   0.5716   1.0000
   3.000   1.1802   0.00778   0.00321  -0.1879   0.5640   1.0000
   3.200   1.1997   0.00793   0.00331  -0.1875   0.5558   1.0000
   3.400   1.2200   0.00806   0.00340  -0.1871   0.5480   1.0000
   3.600   1.2390   0.00822   0.00351  -0.1866   0.5395   1.0000
   3.800   1.2590   0.00835   0.00362  -0.1862   0.5314   1.0000
   4.200   1.2969   0.00868   0.00387  -0.1850   0.5142   1.0000
   4.400   1.3147   0.00888   0.00401  -0.1843   0.5057   1.0000
   4.600   1.3336   0.00903   0.00414  -0.1837   0.4967   1.0000
   4.800   1.3510   0.00922   0.00429  -0.1828   0.4884   1.0000
   5.000   1.3684   0.00939   0.00444  -0.1820   0.4794   1.0000
   5.200   1.3849   0.00959   0.00460  -0.1809   0.4709   1.0000
   5.400   1.4010   0.00980   0.00477  -0.1798   0.4618   1.0000
   5.600   1.4175   0.01000   0.00495  -0.1788   0.4533   1.0000
   5.800   1.4327   0.01024   0.00515  -0.1775   0.4444   1.0000
   6.000   1.4495   0.01044   0.00534  -0.1766   0.4360   1.0000
   6.400   1.4805   0.01092   0.00576  -0.1743   0.4187   1.0000
   6.600   1.4947   0.01122   0.00601  -0.1729   0.4104   1.0000
   6.800   1.5108   0.01145   0.00624  -0.1719   0.4016   1.0000
   7.000   1.5250   0.01175   0.00651  -0.1705   0.3935   1.0000
   7.200   1.5401   0.01202   0.00676  -0.1694   0.3848   1.0000
   7.400   1.5541   0.01233   0.00705  -0.1680   0.3766   1.0000
   7.600   1.5686   0.01264   0.00734  -0.1668   0.3682   1.0000
   7.800   1.5822   0.01297   0.00766  -0.1655   0.3601   1.0000
   8.000   1.5956   0.01333   0.00799  -0.1641   0.3515   1.0000
   8.200   1.6093   0.01367   0.00833  -0.1628   0.3435   1.0000
   8.400   1.6217   0.01408   0.00871  -0.1613   0.3350   1.0000
   8.600   1.6351   0.01445   0.00908  -0.1600   0.3273   1.0000
   8.800   1.6466   0.01492   0.00952  -0.1584   0.3186   1.0000
   9.000   1.6596   0.01532   0.00992  -0.1571   0.3105   1.0000
   9.400   1.6829   0.01629   0.01086  -0.1541   0.2939   1.0000
   9.600   1.6928   0.01687   0.01142  -0.1524   0.2858   1.0000
   9.800   1.7048   0.01737   0.01192  -0.1511   0.2773   1.0000
  10.000   1.7144   0.01800   0.01253  -0.1494   0.2689   1.0000
  10.200   1.7248   0.01860   0.01312  -0.1479   0.2602   1.0000
  10.400   1.7344   0.01927   0.01378  -0.1464   0.2520   1.0000
  10.600   1.7428   0.02002   0.01450  -0.1447   0.2429   1.0000
  10.800   1.7529   0.02069   0.01518  -0.1433   0.2353   1.0000
  11.200   1.7692   0.02231   0.01678  -0.1401   0.2179   1.0000
  11.400   1.7762   0.02323   0.01768  -0.1384   0.2093   1.0000
  11.600   1.7832   0.02418   0.01861  -0.1368   0.2007   1.0000
  11.800   1.7904   0.02513   0.01956  -0.1353   0.1924   1.0000
  12.000   1.7953   0.02626   0.02066  -0.1336   0.1840   1.0000
  12.200   1.8025   0.02726   0.02167  -0.1322   0.1761   1.0000
  12.400   1.8072   0.02848   0.02287  -0.1306   0.1681   1.0000
  12.600   1.8122   0.02971   0.02408  -0.1291   0.1596   1.0000
  12.800   1.8173   0.03096   0.02534  -0.1277   0.1522   1.0000
  13.000   1.8202   0.03241   0.02676  -0.1261   0.1441   1.0000
  13.200   1.8254   0.03371   0.02808  -0.1249   0.1373   1.0000
  13.400   1.8282   0.03526   0.02961  -0.1235   0.1305   1.0000
  13.600   1.8328   0.03668   0.03106  -0.1223   0.1242   1.0000
  13.800   1.8347   0.03838   0.03275  -0.1210   0.1177   1.0000
  14.000   1.8385   0.03995   0.03433  -0.1199   0.1116   1.0000
  14.200   1.8391   0.04186   0.03623  -0.1186   0.1051   1.0000
  14.400   1.8426   0.04353   0.03793  -0.1176   0.0995   1.0000
  14.600   1.8416   0.04570   0.04009  -0.1165   0.0931   1.0000
  14.800   1.8445   0.04752   0.04194  -0.1157   0.0878   1.0000
  15.000   1.8439   0.04974   0.04415  -0.1147   0.0826   1.0000
  15.200   1.8452   0.05181   0.04626  -0.1140   0.0779   1.0000
  15.400   1.8437   0.05424   0.04869  -0.1132   0.0727   1.0000
  15.600   1.8442   0.05650   0.05098  -0.1126   0.0683   1.0000
  15.800   1.8418   0.05916   0.05365  -0.1120   0.0634   1.0000
  16.000   1.8408   0.06169   0.05621  -0.1115   0.0593   1.0000
  16.200   1.8391   0.06435   0.05890  -0.1111   0.0553   1.0000
  16.400   1.8355   0.06733   0.06190  -0.1108   0.0515   1.0000
  16.600   1.8341   0.07008   0.06470  -0.1106   0.0481   1.0000
  16.800   1.8295   0.07330   0.06794  -0.1105   0.0447   1.0000
  17.000   1.8280   0.07616   0.07086  -0.1105   0.0419   1.0000
  17.200   1.8238   0.07943   0.07417  -0.1106   0.0391   1.0000
  17.400   1.8191   0.08283   0.07761  -0.1108   0.0366   1.0000
  17.600   1.8167   0.08595   0.08079  -0.1111   0.0343   1.0000
  17.800   1.8113   0.08956   0.08445  -0.1115   0.0321   1.0000
  18.000   1.8065   0.09312   0.08807  -0.1120   0.0302   1.0000
  18.200   1.8029   0.09653   0.09154  -0.1125   0.0284   1.0000
  18.400   1.7972   0.10029   0.09535  -0.1132   0.0266   1.0000
  18.600   1.7914   0.10412   0.09925  -0.1141   0.0251   1.0000
  18.800   1.7870   0.10777   0.10297  -0.1149   0.0236   1.0000
  19.000   1.7813   0.11164   0.10690  -0.1160   0.0222   1.0000
  19.200   1.7749   0.11566   0.11099  -0.1171   0.0208   1.0000
  19.400   1.7703   0.11939   0.11479  -0.1183   0.0197   1.0000
  19.600   1.7643   0.12335   0.11882  -0.1196   0.0185   1.0000
  19.800   1.7574   0.12749   0.12301  -0.1210   0.0174   1.0000
  20.000   1.7526   0.13132   0.12691  -0.1225   0.0164   1.0000
  20.200   1.7477   0.13516   0.13083  -0.1240   0.0155   1.0000
  20.400   1.7415   0.13923   0.13495  -0.1257   0.0145   1.0000
  20.600   1.7348   0.14341   0.13920  -0.1276   0.0137   1.0000
  20.800   1.7306   0.14717   0.14304  -0.1293   0.0129   1.0000
