  
       XFOIL         Version 6.99
  
 Calculated polar for: MH 117  9.8%                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.800 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2180   0.00848   0.00294  -0.0746   0.8880   0.0498
  -4.800  -0.1966   0.00834   0.00277  -0.0744   0.8778   0.0586
  -4.600  -0.1752   0.00819   0.00262  -0.0742   0.8681   0.0692
  -4.400  -0.1538   0.00804   0.00247  -0.0740   0.8583   0.0802
  -4.200  -0.1322   0.00791   0.00233  -0.0738   0.8490   0.0920
  -4.000  -0.1106   0.00778   0.00220  -0.0736   0.8401   0.1047
  -3.800  -0.0890   0.00765   0.00208  -0.0734   0.8310   0.1188
  -3.600  -0.0672   0.00753   0.00196  -0.0733   0.8224   0.1327
  -3.400  -0.0455   0.00742   0.00185  -0.0731   0.8140   0.1474
  -3.200  -0.0235   0.00730   0.00175  -0.0730   0.8056   0.1649
  -3.000  -0.0018   0.00720   0.00165  -0.0728   0.7978   0.1837
  -2.800   0.0202   0.00708   0.00157  -0.0727   0.7895   0.2035
  -2.600   0.0421   0.00698   0.00150  -0.0726   0.7819   0.2261
  -2.400   0.0640   0.00688   0.00143  -0.0725   0.7738   0.2498
  -2.200   0.0860   0.00678   0.00137  -0.0724   0.7662   0.2730
  -2.000   0.1079   0.00669   0.00132  -0.0723   0.7584   0.2983
  -1.800   0.1299   0.00658   0.00127  -0.0723   0.7505   0.3286
  -1.600   0.1517   0.00650   0.00123  -0.0721   0.7428   0.3590
  -1.400   0.1738   0.00639   0.00120  -0.0721   0.7346   0.3905
  -1.200   0.1955   0.00630   0.00117  -0.0719   0.7270   0.4282
  -1.000   0.2174   0.00619   0.00115  -0.0719   0.7188   0.4680
  -0.800   0.2392   0.00609   0.00114  -0.0717   0.7114   0.5083
  -0.600   0.2609   0.00597   0.00114  -0.0716   0.7035   0.5558
  -0.400   0.2824   0.00586   0.00114  -0.0714   0.6961   0.6052
  -0.200   0.3038   0.00575   0.00116  -0.0712   0.6882   0.6551
   0.000   0.3250   0.00563   0.00118  -0.0709   0.6806   0.7064
   0.200   0.3457   0.00554   0.00120  -0.0704   0.6728   0.7578
   0.400   0.3661   0.00543   0.00124  -0.0698   0.6650   0.8088
   0.600   0.3853   0.00536   0.00127  -0.0689   0.6574   0.8577
   0.800   0.4041   0.00528   0.00130  -0.0679   0.6494   0.9048
   1.000   0.4258   0.00526   0.00132  -0.0674   0.6415   0.9488
   1.200   0.4574   0.00527   0.00132  -0.0694   0.6324   0.9796
   1.400   0.4906   0.00531   0.00131  -0.0717   0.6231   0.9985
   1.600   0.5126   0.00538   0.00133  -0.0716   0.6143   1.0000
   1.800   0.5338   0.00544   0.00136  -0.0714   0.6050   1.0000
   2.000   0.5550   0.00551   0.00140  -0.0711   0.5959   1.0000
   2.200   0.5761   0.00559   0.00143  -0.0708   0.5859   1.0000
