  
       XFOIL         Version 6.99
  
 Calculated polar for: MH 114  13.02%                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.3190   0.00833   0.00315  -0.1930   0.7482   0.0070
  -4.800   0.3417   0.00820   0.00298  -0.1931   0.7442   0.0074
  -4.600   0.3648   0.00806   0.00283  -0.1933   0.7402   0.0081
  -4.400   0.3877   0.00791   0.00264  -0.1934   0.7357   0.0087
  -4.200   0.4102   0.00776   0.00244  -0.1935   0.7312   0.0097
  -4.000   0.4331   0.00766   0.00231  -0.1936   0.7272   0.0109
  -3.800   0.4563   0.00750   0.00215  -0.1938   0.7229   0.0131
  -3.600   0.4791   0.00739   0.00203  -0.1939   0.7183   0.0163
  -3.400   0.5015   0.00732   0.00193  -0.1939   0.7136   0.0206
  -3.200   0.5247   0.00720   0.00184  -0.1941   0.7095   0.0270
  -3.000   0.5476   0.00711   0.00177  -0.1943   0.7048   0.0341
  -2.600   0.5928   0.00696   0.00165  -0.1945   0.6954   0.0564
  -2.400   0.6159   0.00685   0.00160  -0.1947   0.6908   0.0760
  -2.200   0.6385   0.00676   0.00156  -0.1948   0.6856   0.0996
  -2.000   0.6609   0.00670   0.00153  -0.1949   0.6806   0.1246
  -1.800   0.6841   0.00660   0.00150  -0.1952   0.6758   0.1527
  -1.600   0.7067   0.00653   0.00149  -0.1953   0.6704   0.1821
  -1.400   0.7289   0.00649   0.00149  -0.1953   0.6649   0.2145
  -1.200   0.7519   0.00642   0.00149  -0.1956   0.6597   0.2453
  -1.000   0.7743   0.00639   0.00149  -0.1956   0.6538   0.2751
  -0.800   0.7965   0.00637   0.00151  -0.1956   0.6481   0.3046
  -0.600   0.8192   0.00633   0.00152  -0.1958   0.6423   0.3372
  -0.400   0.8412   0.00631   0.00156  -0.1958   0.6360   0.3742
  -0.200   0.8636   0.00630   0.00159  -0.1959   0.6303   0.4059
   0.000   0.8858   0.00629   0.00162  -0.1959   0.6238   0.4379
   0.200   0.9074   0.00632   0.00167  -0.1958   0.6172   0.4670
   0.400   0.9298   0.00631   0.00171  -0.1959   0.6109   0.4957
   0.800   0.9733   0.00637   0.00182  -0.1958   0.5974   0.5517
   1.000   0.9949   0.00641   0.00188  -0.1957   0.5900   0.5779
   1.200   1.0164   0.00646   0.00194  -0.1955   0.5832   0.6045
   1.400   1.0379   0.00649   0.00201  -0.1954   0.5756   0.6311
   1.600   1.0589   0.00656   0.00209  -0.1952   0.5682   0.6572
   1.800   1.0804   0.00660   0.00216  -0.1951   0.5606   0.6839
   2.000   1.1011   0.00668   0.00225  -0.1948   0.5528   0.7111
   2.200   1.1223   0.00673   0.00234  -0.1947   0.5449   0.7389
   2.400   1.1425   0.00680   0.00244  -0.1943   0.5369   0.7692
   2.600   1.1631   0.00685   0.00253  -0.1940   0.5287   0.8031
   2.800   1.1823   0.00691   0.00264  -0.1934   0.5206   0.8441
   3.000   1.1994   0.00691   0.00274  -0.1923   0.5124   0.9015
   3.200   1.2144   0.00691   0.00280  -0.1907   0.5043   1.0000
   3.400   1.2348   0.00704   0.00288  -0.1904   0.4955   1.0000
   3.600   1.2548   0.00719   0.00298  -0.1900   0.4872   1.0000
   3.800   1.2745   0.00734   0.00309  -0.1896   0.4780   1.0000
   4.000   1.2943   0.00748   0.00319  -0.1892   0.4697   1.0000
   4.200   1.3134   0.00766   0.00332  -0.1887   0.4604   1.0000
   4.400   1.3331   0.00780   0.00343  -0.1883   0.4521   1.0000
   4.600   1.3514   0.00800   0.00357  -0.1876   0.4427   1.0000
   4.800   1.3707   0.00814   0.00369  -0.1871   0.4341   1.0000
   5.000   1.3887   0.00834   0.00384  -0.1864   0.4253   1.0000
   5.200   1.4066   0.00850   0.00397  -0.1856   0.4167   1.0000
   5.400   1.4236   0.00868   0.00412  -0.1847   0.4084   1.0000
   5.600   1.4406   0.00887   0.00427  -0.1837   0.3996   1.0000
   5.800   1.4573   0.00906   0.00443  -0.1827   0.3914   1.0000
   6.000   1.4735   0.00927   0.00460  -0.1817   0.3828   1.0000
   6.200   1.4901   0.00947   0.00477  -0.1807   0.3749   1.0000
   6.400   1.5058   0.00971   0.00497  -0.1796   0.3661   1.0000
   6.600   1.5224   0.00991   0.00515  -0.1786   0.3582   1.0000
   6.800   1.5372   0.01017   0.00537  -0.1773   0.3494   1.0000
   7.000   1.5534   0.01038   0.00557  -0.1763   0.3416   1.0000
   7.200   1.5680   0.01067   0.00581  -0.1750   0.3333   1.0000
   7.400   1.5842   0.01089   0.00602  -0.1741   0.3257   1.0000
   7.600   1.5979   0.01121   0.00629  -0.1726   0.3168   1.0000
   7.800   1.6134   0.01145   0.00653  -0.1715   0.3096   1.0000
   8.000   1.6269   0.01178   0.00682  -0.1701   0.3012   1.0000
   8.200   1.6415   0.01207   0.00710  -0.1689   0.2928   1.0000
   8.400   1.6546   0.01243   0.00742  -0.1675   0.2848   1.0000
   8.600   1.6680   0.01277   0.00773  -0.1661   0.2763   1.0000
   8.800   1.6812   0.01313   0.00808  -0.1647   0.2686   1.0000
   9.000   1.6936   0.01353   0.00845  -0.1633   0.2602   1.0000
   9.200   1.7058   0.01394   0.00884  -0.1618   0.2516   1.0000
   9.400   1.7167   0.01443   0.00929  -0.1601   0.2426   1.0000
   9.600   1.7289   0.01486   0.00970  -0.1587   0.2345   1.0000
   9.800   1.7393   0.01540   0.01020  -0.1570   0.2260   1.0000
  10.000   1.7507   0.01588   0.01067  -0.1555   0.2182   1.0000
  10.200   1.7606   0.01646   0.01122  -0.1538   0.2098   1.0000
  10.400   1.7699   0.01708   0.01182  -0.1521   0.2007   1.0000
  10.600   1.7798   0.01769   0.01240  -0.1505   0.1925   1.0000
  10.800   1.7872   0.01845   0.01312  -0.1486   0.1834   1.0000
  11.000   1.7975   0.01907   0.01373  -0.1471   0.1763   1.0000
  11.200   1.8048   0.01988   0.01452  -0.1453   0.1677   1.0000
  11.400   1.8124   0.02070   0.01530  -0.1436   0.1593   1.0000
  11.600   1.8201   0.02152   0.01611  -0.1419   0.1518   1.0000
  11.800   1.8257   0.02251   0.01706  -0.1401   0.1430   1.0000
  12.000   1.8333   0.02338   0.01793  -0.1385   0.1361   1.0000
  12.200   1.8386   0.02445   0.01896  -0.1368   0.1280   1.0000
  12.400   1.8459   0.02539   0.01991  -0.1353   0.1224   1.0000
  12.600   1.8512   0.02651   0.02101  -0.1337   0.1158   1.0000
  12.800   1.8569   0.02762   0.02212  -0.1322   0.1092   1.0000
  13.000   1.8611   0.02889   0.02336  -0.1306   0.1022   1.0000
  13.200   1.8656   0.03016   0.02462  -0.1291   0.0961   1.0000
  13.400   1.8686   0.03159   0.02603  -0.1275   0.0889   1.0000
  13.600   1.8694   0.03325   0.02765  -0.1259   0.0810   1.0000
  13.800   1.8747   0.03456   0.02898  -0.1247   0.0766   1.0000
  14.000   1.8757   0.03630   0.03070  -0.1232   0.0704   1.0000
  14.200   1.8773   0.03802   0.03241  -0.1219   0.0642   1.0000
  14.400   1.8798   0.03971   0.03410  -0.1207   0.0600   1.0000
  14.600   1.8825   0.04141   0.03581  -0.1196   0.0558   1.0000
  14.800   1.8834   0.04334   0.03775  -0.1185   0.0513   1.0000
  15.000   1.8863   0.04512   0.03955  -0.1176   0.0483   1.0000
  15.200   1.8862   0.04725   0.04168  -0.1166   0.0444   1.0000
  15.400   1.8886   0.04915   0.04361  -0.1158   0.0415   1.0000
  15.600   1.8882   0.05140   0.04588  -0.1149   0.0384   1.0000
  15.800   1.8895   0.05352   0.04803  -0.1143   0.0356   1.0000
  16.000   1.8893   0.05585   0.05039  -0.1136   0.0331   1.0000
  16.200   1.8882   0.05834   0.05290  -0.1131   0.0306   1.0000
  16.400   1.8893   0.06061   0.05521  -0.1126   0.0286   1.0000
  16.600   1.8867   0.06338   0.05801  -0.1122   0.0263   1.0000
  16.800   1.8862   0.06594   0.06062  -0.1119   0.0246   1.0000
  17.000   1.8848   0.06866   0.06337  -0.1117   0.0227   1.0000
  17.200   1.8814   0.07172   0.06646  -0.1116   0.0209   1.0000
  17.400   1.8799   0.07456   0.06935  -0.1115   0.0194   1.0000
  17.600   1.8765   0.07770   0.07254  -0.1116   0.0179   1.0000
  17.800   1.8734   0.08083   0.07572  -0.1117   0.0166   1.0000
  18.000   1.8700   0.08408   0.07903  -0.1120   0.0154   1.0000
  18.200   1.8649   0.08761   0.08261  -0.1124   0.0142   1.0000
  18.400   1.8621   0.09085   0.08590  -0.1128   0.0132   1.0000
  18.600   1.8574   0.09441   0.08953  -0.1133   0.0122   1.0000
  18.800   1.8510   0.09828   0.09345  -0.1140   0.0112   1.0000
  19.000   1.8477   0.10166   0.09689  -0.1147   0.0105   1.0000
  19.200   1.8423   0.10543   0.10072  -0.1156   0.0096   1.0000
  19.400   1.8358   0.10942   0.10477  -0.1166   0.0090   1.0000
  19.600   1.8310   0.11314   0.10856  -0.1176   0.0083   1.0000
  19.800   1.8261   0.11690   0.11237  -0.1187   0.0077   1.0000
  20.000   1.8197   0.12092   0.11646  -0.1200   0.0072   1.0000
  20.200   1.8135   0.12492   0.12053  -0.1214   0.0067   1.0000
  20.400   1.8096   0.12852   0.12419  -0.1227   0.0062   1.0000
  20.600   1.8035   0.13254   0.12828  -0.1242   0.0058   1.0000
  20.800   1.7964   0.13673   0.13253  -0.1259   0.0053   1.0000
  21.000   1.7921   0.14043   0.13630  -0.1275   0.0049   1.0000
  21.200   1.7867   0.14435   0.14029  -0.1292   0.0046   1.0000
  21.400   1.7813   0.14826   0.14426  -0.1311   0.0043   1.0000
