  
       XFOIL         Version 6.99
  
 Calculated polar for: MH 117  9.8%                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.600 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2149   0.00917   0.00344  -0.0758   0.9155   0.0578
  -4.800  -0.1933   0.00898   0.00326  -0.0756   0.9053   0.0695
  -4.600  -0.1717   0.00881   0.00309  -0.0754   0.8956   0.0810
  -4.400  -0.1503   0.00865   0.00292  -0.0752   0.8857   0.0924
  -4.200  -0.1289   0.00850   0.00276  -0.0749   0.8757   0.1044
  -4.000  -0.1074   0.00836   0.00261  -0.0747   0.8665   0.1179
  -3.800  -0.0860   0.00822   0.00246  -0.0745   0.8573   0.1317
  -3.600  -0.0644   0.00808   0.00233  -0.0742   0.8480   0.1468
  -3.400  -0.0428   0.00795   0.00220  -0.0740   0.8396   0.1649
  -3.200  -0.0213   0.00782   0.00208  -0.0739   0.8307   0.1844
  -3.000   0.0004   0.00769   0.00198  -0.0737   0.8223   0.2055
  -2.800   0.0220   0.00757   0.00189  -0.0735   0.8143   0.2293
  -2.600   0.0438   0.00745   0.00181  -0.0734   0.8058   0.2541
  -2.400   0.0655   0.00735   0.00174  -0.0732   0.7983   0.2794
  -2.200   0.0873   0.00723   0.00167  -0.0731   0.7900   0.3074
  -2.000   0.1090   0.00712   0.00161  -0.0730   0.7824   0.3394
  -1.800   0.1307   0.00700   0.00157  -0.0728   0.7744   0.3722
  -1.600   0.1525   0.00689   0.00153  -0.0727   0.7667   0.4069
  -1.400   0.1740   0.00677   0.00149  -0.0725   0.7588   0.4482
  -1.200   0.1956   0.00665   0.00147  -0.0724   0.7508   0.4910
  -1.000   0.2170   0.00654   0.00145  -0.0721   0.7431   0.5359
  -0.800   0.2384   0.00640   0.00145  -0.0719   0.7349   0.5860
  -0.600   0.2594   0.00628   0.00144  -0.0716   0.7275   0.6397
  -0.400   0.2803   0.00614   0.00146  -0.0712   0.7194   0.6929
  -0.200   0.3007   0.00603   0.00148  -0.0706   0.7120   0.7465
   0.000   0.3206   0.00591   0.00151  -0.0699   0.7040   0.7997
   0.200   0.3396   0.00582   0.00154  -0.0689   0.6966   0.8511
   0.400   0.3580   0.00575   0.00156  -0.0677   0.6887   0.9001
   0.600   0.3808   0.00572   0.00157  -0.0675   0.6810   0.9440
   0.800   0.4135   0.00573   0.00154  -0.0696   0.6727   0.9764
   1.000   0.4479   0.00574   0.00153  -0.0722   0.6637   0.9970
   1.200   0.4709   0.00581   0.00153  -0.0723   0.6556   1.0000
   1.400   0.4916   0.00586   0.00155  -0.0719   0.6467   1.0000
   1.600   0.5125   0.00593   0.00157  -0.0716   0.6382   1.0000
   1.800   0.5334   0.00601   0.00160  -0.0712   0.6294   1.0000
   2.000   0.5546   0.00606   0.00164  -0.0710   0.6200   1.0000
   2.200   0.5758   0.00614   0.00168  -0.0707   0.6108   1.0000
   2.600   0.6183   0.00630   0.00177  -0.0702   0.5905   1.0000
   2.800   0.6396   0.00638   0.00182  -0.0699   0.5798   1.0000
   3.000   0.6608   0.00648   0.00189  -0.0697   0.5681   1.0000
   3.200   0.6819   0.00658   0.00196  -0.0694   0.5560   1.0000
   3.400   0.7030   0.00669   0.00203  -0.0691   0.5424   1.0000
   3.600   0.7240   0.00681   0.00211  -0.0688   0.5275   1.0000
   3.800   0.7449   0.00694   0.00220  -0.0685   0.5096   1.0000
   4.000   0.7654   0.00710   0.00230  -0.0682   0.4905   1.0000
   4.200   0.7858   0.00728   0.00241  -0.0678   0.4688   1.0000
   4.400   0.8058   0.00751   0.00254  -0.0674   0.4436   1.0000
   4.600   0.8254   0.00776   0.00268  -0.0669   0.4149   1.0000
   4.800   0.8448   0.00805   0.00287  -0.0665   0.3855   1.0000
   5.000   0.8643   0.00835   0.00306  -0.0660   0.3585   1.0000
   5.200   0.8834   0.00868   0.00326  -0.0655   0.3307   1.0000
   5.400   0.9025   0.00902   0.00349  -0.0650   0.3024   1.0000
   5.600   0.9214   0.00938   0.00373  -0.0645   0.2759   1.0000
   5.800   0.9407   0.00970   0.00398  -0.0641   0.2524   1.0000
   6.000   0.9596   0.01005   0.00423  -0.0636   0.2296   1.0000
   6.200   0.9781   0.01044   0.00451  -0.0631   0.2057   1.0000
   6.400   0.9970   0.01080   0.00479  -0.0626   0.1850   1.0000
   6.800   1.0340   0.01156   0.00539  -0.0615   0.1470   1.0000
   7.000   1.0522   0.01196   0.00571  -0.0609   0.1295   1.0000
   7.200   1.0702   0.01237   0.00606  -0.0603   0.1137   1.0000
   7.400   1.0880   0.01280   0.00642  -0.0597   0.0992   1.0000
   7.600   1.1059   0.01321   0.00679  -0.0591   0.0874   1.0000
   7.800   1.1238   0.01360   0.00716  -0.0585   0.0780   1.0000
   8.000   1.1414   0.01402   0.00757  -0.0578   0.0698   1.0000
   8.200   1.1582   0.01450   0.00800  -0.0570   0.0617   1.0000
   8.400   1.1762   0.01485   0.00838  -0.0564   0.0562   1.0000
   8.600   1.1920   0.01541   0.00890  -0.0555   0.0490   1.0000
   8.800   1.2103   0.01570   0.00924  -0.0549   0.0452   1.0000
   9.000   1.2263   0.01619   0.00970  -0.0541   0.0398   1.0000
   9.200   1.2432   0.01659   0.01013  -0.0534   0.0359   1.0000
   9.400   1.2597   0.01700   0.01054  -0.0526   0.0321   1.0000
   9.600   1.2742   0.01757   0.01110  -0.0515   0.0277   1.0000
   9.800   1.2909   0.01793   0.01150  -0.0508   0.0251   1.0000
